raceId,rank,factor1,factor2,factor3,factor4,factor5,factor6,factor7,factor8,factor9,factor10
30303,11,0,91,87,122,8,0,0,0.0971429,17,0
30303,12,0.25,92,95,117,5,0,1,0.0319635,7,0
30303,10,0,91,88,127,9,0,0,0.088,11,0
30303,8,0,93,94,123,1,0,0,0.0862069,5,0
30303,9,0,90,90,118,2,0,1,0.0864865,16,0
30303,4,0.25,93,93,131,4,0,1,0.101852,22,0
30303,2,0.75,94,92,120,11,0,1,0.157895,36,0
30303,6,0.2,91,89,109,3,0,1,0.0526316,8,0
30303,1,0,93,91,112,7,0,0,0.0825243,17,0
30303,7,0.4,91,94,122,6,0,0,0.0939227,17,0
30303,5,0,92,91,118,12,0,0,0.0788177,16,0
30303,3,0.2,95,98,128,10,0,0,0.059322,7,0
30390,7,0,92,97,122,10,0,1,0.0812721,23,0
30390,13,0,92,93,120,2,0,0,0.0621762,12,0
30390,11,0,92,90,119,8,0,1,0.096,24,0
30390,4,0,92,93,112,1,0,0,0,0,0
30390,3,0.125,89,93,113,5,0,1,0.0886076,14,0
30390,8,0.166667,93,89,122,12,0,1,0.0588235,9,0
30390,5,0.25,93,94,131,4,0,0,0.0962343,23,0
30390,2,0,93,93,127,3,0,0,0.102151,19,0
30390,14,0,92,91,125,11,0,0,0.173913,32,0
30390,12,0.25,92,94,123,13,0,0,0.0267857,3,0
30390,9,0,94,95,132,9,0,0,0.105263,20,0
30390,10,0,88,92,115,14,0,1,0.0780142,11,0
30390,1,0,92,91,122,7,0,1,0.149837,46,0
30390,6,0,94,95,131,6,0,1,0.0287356,5,0
30417,2,0,92,88,118,1,0,1,0.0945455,26,0
30417,4,0,93,90,110,5,0,0,0.0560748,12,0
30417,7,0,90,85,111,3,0,0,0.0850202,21,0
30417,3,0.166667,94,94,133,6,0,0,0.154545,34,0
30417,8,0,96,98,126,7,0,0,0.0343643,10,0
30417,6,0,93,95,111,4,0,1,0.0314136,6,0
30417,5,0.166667,95,96,119,8,0,0,0.0956938,20,0
30417,1,0.142857,92,91,116,2,0,1,0.1571,52,0
30435,1,0,92,89,124,3,0,1,0.0186335,3,0
30435,4,0.2,93,89,117,7,0,1,0.0860215,16,0
30435,9,0,80,88,125,8,0,1,0.0761589,23,0
30435,3,0.125,92,84,126,9,0,1,0.0328947,10,0
30435,7,0.181818,93,92,108,1,0,1,0.0497738,11,0
30435,8,0,93,93,125,2,0,1,0.0954198,25,0
30435,2,0.6,92,92,124,5,0,1,0.157593,55,0
30435,5,0,95,94,133,6,0,1,0.0905923,26,0
30435,6,0.2,87,90,119,4,0,0,0.165254,39,0
30442,11,0.125,96,100,124,10,0,1,0.00757576,1,0
30442,10,0,90,96,108,3,0,1,0.0614035,14,0
30442,9,0.25,90,86,121,4,0,1,0.105528,21,0
30442,3,0,93,93,115,2,0,1,0.0741935,23,0
30442,6,0,89,87,119,1,0,1,0.055794,13,0
30442,8,0,90,88,133,5,0,1,0.0612245,12,0
30442,7,0,92,93,113,7,0,0,0.0736842,21,0
30442,2,0,91,93,120,6,0,1,0.0321543,10,0
30442,4,0.222222,90,92,123,11,0,0,0.0854093,24,0
30442,12,0,82,91,114,8,0,0,0.0829016,16,0
30442,5,0.25,95,94,131,13,0,0,0.0890411,26,0
30442,1,0.166667,95,98,130,9,0,1,0.154494,55,0
30442,13,0,94,95,131,12,0,1,0.0434783,1,0
30479,6,0.2,94,89,133,1,0,0,0.173432,47,0
30479,4,0,98,98,113,5,0,1,0.0727969,19,0
30479,5,0,96,97,126,4,0,0,0.0809061,25,0
30479,1,0.0909091,97,100,113,7,0,0,0.0276498,6,0
30479,2,0.166667,98,98,129,6,0,1,0.158974,62,0
30479,3,0,93,93,113,3,0,1,0.0761905,24,0
30479,7,0.142857,94,93,120,2,0,0,0.115044,26,0
30494,7,0.111111,94,98,130,11,0,1,0.170819,48,0
30494,3,0.0833333,92,95,132,9,0,1,0.0754717,12,0
30494,2,0,93,93,126,3,0,0,0.0945946,21,0
30494,9,0.25,92,92,128,6,0,1,0.160401,64,0
30494,10,0,87,90,112,2,0,1,0.0520446,14,0
30494,4,0.166667,92,92,107,4,0,1,0.059761,15,0
30494,5,0,93,94,126,5,0,0,0.0833333,21,0
30494,8,0,88,89,112,1,0,1,0.0776398,25,0
30494,6,0,93,95,131,10,0,1,0.0786164,25,0
30494,1,0.142857,90,93,121,7,0,0,0.025,1,0
30494,11,0,92,93,120,8,0,1,0.110638,26,0
30512,9,0,96,96,113,12,0,1,0.0295359,7,0
30512,12,0,91,91,110,8,0,0,0.04947,14,0
30512,11,0.111111,93,95,129,9,0,1,0.021164,4,0
30512,8,0.125,94,94,122,4,0,1,0.0889831,21,0
30512,7,0,92,94,133,11,0,0,0.166667,49,0
